S.No.,Current Status,Recommended Weapon,Command Sent,Armed Weapon,Expected Next Status,Fired?,Class,Prediction,Probability
22,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
23,Unarmed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
24,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
25,Unarmed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
26,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
27,Unarmed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
28,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
29,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
30,Armed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
31,Armed,,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
32,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
33,Armed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
34,Unarmed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
35,Unarmed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
36,Armed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
37,Armed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
38,Armed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
39,Armed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
40,Unarmed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
41,Armed,Light Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
42,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
43,Unarmed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
44,Armed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
45,Armed,,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
46,Unarmed,,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
47,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
48,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
49,Armed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
50,Armed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
51,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
52,Unarmed,,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
53,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
54,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
55,Armed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
56,Armed,,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
57,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
58,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
59,Armed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
60,Armed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
61,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
62,Armed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
63,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
64,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
65,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
66,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
67,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
68,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
69,Armed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
70,Armed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
71,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
72,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
73,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
74,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
75,Unarmed,,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
76,Unarmed,,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
77,Unarmed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
78,Armed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
79,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
80,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
81,Unarmed,,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
82,Armed,,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
83,Armed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
84,Armed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
85,Armed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
86,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
87,Unarmed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
88,Unarmed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
89,Armed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
90,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
91,Unarmed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
92,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
93,Armed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
94,Armed,Light Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
95,Armed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
96,Armed,Light Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
97,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
98,Armed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
99,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
100,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
101,Armed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
102,Unarmed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
103,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
104,Unarmed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
105,Armed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
106,Armed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
107,Armed,Light Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
108,Unarmed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
109,Unarmed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
110,Unarmed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
111,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
112,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
113,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
114,Armed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
115,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
116,Armed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
117,Unarmed,,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
118,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
119,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
120,Armed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
121,Armed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
122,Unarmed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
123,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
124,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
125,Armed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
126,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
127,Unarmed,,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
128,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
129,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
130,Armed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
131,Armed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
132,Armed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
133,Unarmed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
134,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
135,Unarmed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
136,Unarmed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
137,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
138,Unarmed,,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
139,Unarmed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
140,Armed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
141,Armed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
142,Armed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
143,Armed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
144,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
145,Unarmed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
146,Armed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
147,Unarmed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
148,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
149,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
150,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
151,Unarmed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
152,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
153,Unarmed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
154,Armed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
155,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
156,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
157,Unarmed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
158,Armed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
159,Armed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
160,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
161,Armed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
162,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
163,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
164,Unarmed,,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
165,Armed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
166,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
167,Armed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
168,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
169,Armed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
170,Armed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
171,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
172,Unarmed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
173,Unarmed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
174,Unarmed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
175,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
176,Armed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
177,Unarmed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
178,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
179,Unarmed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
180,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
181,Armed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
182,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
183,Unarmed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
184,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
185,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
186,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
187,Unarmed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
188,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
189,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
190,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
191,Armed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
192,Unarmed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
193,Unarmed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
194,Armed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
195,Armed,,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
196,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
197,Unarmed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
198,Armed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
199,Armed,,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
200,Armed,Light Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
201,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
202,Unarmed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
203,Armed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
204,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
205,Armed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
206,Armed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
207,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
208,Unarmed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
209,Unarmed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
210,Unarmed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
211,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
212,Armed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
213,Unarmed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
214,Armed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
215,Armed,,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
216,Unarmed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
217,Armed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
218,Unarmed,,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
219,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
220,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
221,Armed,,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
222,Armed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
223,Armed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
224,Unarmed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
225,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
226,Armed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
227,Armed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
228,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
229,Unarmed,,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
230,Armed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
231,Armed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
232,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
233,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
234,Armed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
235,Unarmed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
236,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
237,Armed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
238,Armed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
239,Armed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
240,Armed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
241,Unarmed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
242,Unarmed,Heavy Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
243,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
244,Armed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
245,Armed,Heavy Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
246,Armed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
247,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
248,Armed,Light Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
249,Armed,,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
250,Unarmed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
251,Unarmed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
252,Unarmed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
253,Armed,Light Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
254,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
255,Unarmed,Heavy Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
256,Unarmed,Light Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
257,Armed,Light Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
258,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
259,Armed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
260,Armed,,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
261,Unarmed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
262,Unarmed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
263,Armed,Light Torpedo,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
264,Armed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
265,Unarmed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
266,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
267,Armed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
268,Unarmed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
269,Armed,Heavy Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
270,Armed,Heavy Torpedo,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
271,Unarmed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
272,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
273,Unarmed,,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
274,Unarmed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
275,Unarmed,,,Heavy Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
276,Unarmed,Light Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
277,Unarmed,,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
278,Armed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
279,Unarmed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
280,Armed,,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
281,Armed,Light Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
282,Unarmed,,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
283,Unarmed,Heavy Torpedo,,Light Torpedo,Armed,Yes,Malicious,1,0.7133801344847649
284,Armed,Light Torpedo,,Heavy Torpedo,Armed,No,Malicious,1,0.7133801344847649
285,Armed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
286,Armed,Light Torpedo,,Light Torpedo,Armed,No,Malicious,1,0.7133801344847649
287,Unarmed,,,Heavy Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
288,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
289,Unarmed,Heavy Torpedo,,Light Torpedo,Unarmed,No,Malicious,1,0.7133801344847649
290,Armed,Light Torpedo,,Light Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
291,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
292,Unarmed,Light Torpedo,,Heavy Torpedo,Unarmed,Yes,Malicious,1,0.7133801344847649
